Line1	Line2	SNPs	euclidean_distance	substructure	Similarity
CL3-1	CC3061	0.167	258.39318257111876	NA1 x NA2	0.833
GB117	CC3061	0.1127	234.20304113679535	NA1	0.8873
GB119	CC3061	0.128	223.1556990985308	NA1	0.872
GB123	CC3061	0.1194	221.3656894965645	NA1	0.8806
GB13	CC3061	0.1167	227.48501507170354	NA1	0.8833
GB141	CC3061	0.1366	218.8687934125679	NA1	0.8634
GB66	CC3061	0.1254	236.45519247867693	NA1	0.8746
JG4-1	CC3061	0.1556	239.16720551216886	NA1 x NA2	0.8444
W13-1	CC3061	0.1571	254.60573471921697	NA1 x NA2	0.8429
W13-2	CC3061	0.1456	244.88714859162422	NA1 x NA2	0.8544
